Resource ARN,Service Type,Tags
arn:aws:ec2:us-east-1:960341592570:internet-gateway/igw-0dcaacdfc5b6e9156,ec2,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-igw'}"
arn:aws:ec2:us-east-1:960341592570:launch-template/lt-04c5c24bef3aa67fc,ec2,"{'eks:cluster-name': 'task1-dev-us-east-1-daniel-katsenyuk-cluster', 'eks:nodegroup-name': 'task1-dev-us-east-1-daniel-katsenyuk-node-group'}"
arn:aws:ec2:us-east-1:960341592570:subnet/subnet-0e3f090b0b7214278,ec2,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-public-subnet-1'}"
arn:aws:ec2:us-east-1:960341592570:subnet/subnet-038ec3bf9438a0d3f,ec2,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-private-subnet-1'}"
arn:aws:ec2:us-east-1:960341592570:subnet/subnet-0c4a5d300fda699d0,ec2,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-public-subnet-2'}"
arn:aws:ecr:us-east-1:960341592570:repository/task1-dev-us-east-1-daniel-katsenyuk-nginx-repo,ecr,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-nginx-repo'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/keda/keda-admission-757b9b8b7b-j9r77/f6080479-6141-4a26-97d9-b566a605638a,eks,"{'app': 'keda-admission-webhooks', 'name': 'keda-admission-webhooks', 'pod-template-hash': '757b9b8b7b', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1a'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/keda/keda-metrics-apiserver-58d9487d65-kp5nc/c676fd7b-f0e2-4131-a1a6-844373eb201e,eks,"{'app': 'keda-metrics-apiserver', 'pod-template-hash': '58d9487d65', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1b'}"
arn:aws:elasticloadbalancing:us-east-1:960341592570:loadbalancer/a35277e205af5456b8d42a0227383ce8,elasticloadbalancing,"{'kubernetes.io/service-name': 'nginx/nginx-service', 'kubernetes.io/cluster/task1-dev-us-east-1-daniel-katsenyuk-cluster': 'owned'}"
arn:aws:lambda:us-east-1:960341592570:function:StackSet-temp2-4a8ba573-75de-41ca-ad8d-f61a9877ea95-fn,lambda,"{'aws:cloudformation:stack-name': 'StackSet-temp2-4a8ba573-75de-41ca-ad8d-f61a9877ea95', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:960341592570:stack/StackSet-temp2-4a8ba573-75de-41ca-ad8d-f61a9877ea95/d51feba0-0d5b-11f1-ba36-0affeb8555e7', 'aws:cloudformation:logical-id': 'AthenaWorkgroupCleanupFunction'}"
arn:aws:logs:us-east-1:960341592570:log-group:/aws/lambda/StackSet-temp-8776f7e3-d77d-4057-97f6-a86570b493e7-fn,logs,"{'Owner': 'Daniel Katsenyuk', 'Account-level-resource': 'True', 'Module-Number': '4'}"
arn:aws:logs:us-east-1:960341592570:log-group:/aws/lambda/aws-controltower-NotificationForwarder,logs,"{'aws:cloudformation:stack-name': 'StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-bf633fac-72dd-4276-b698-8308801ff356', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:960341592570:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-bf633fac-72dd-4276-b698-8308801ff356/76274240-0d5d-11f1-886e-0eaed18abfd1', 'aws:cloudformation:logical-id': 'ForwardSnsNotificationGroup'}"
arn:aws:ssm:us-east-1:960341592570:parameter/dev/myapp/mysql/password,ssm,"{'Owner': 'Daniel Katsenyuk', 'Account-level-resource': 'True', 'Module-Number': '4'}"
arn:aws:ssm:us-east-1:960341592570:parameter/dev/myapp/mysql/user,ssm,"{'Owner': 'Daniel Katsenyuk', 'Account-level-resource': 'True', 'Module-Number': '4'}"
arn:aws:ssm:us-east-1:960341592570:parameter/dev/config/app_mode,ssm,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-ssm-param'}"
arn:aws:backup:us-east-1:960341592570:recovery-point:a4a551c1-4dd5-48c3-93fd-2972ee357939,backup,{'Name': 'mysql-efs'}
arn:aws:backup:us-east-1:960341592570:recovery-point:5166e514-9747-4b47-b739-3c0b38f2f1d0,backup,{'Name': 'mysql-efs'}
arn:aws:ec2:us-east-1:960341592570:elastic-ip/eipalloc-0275e2166cd58bf67,ec2,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-nat-eip'}"
arn:aws:ec2:us-east-1:960341592570:instance/i-0c8ccb640af951fa0,ec2,"{'aws:autoscaling:groupName': 'eks-task1-dev-us-east-1-daniel-katsenyuk-node-group-8cce47db-109c-2c1a-3cc3-e0b97400fcaf', 'aws:ec2:fleet-id': 'fleet-d337b984-0b2e-461c-a6ba-a5a25d21495d', 'aws:eks:cluster-name': 'task1-dev-us-east-1-daniel-katsenyuk-cluster', 'kubernetes.io/cluster/task1-dev-us-east-1-daniel-katsenyuk-cluster': 'owned', 'k8s.io/cluster-autoscaler/task1-dev-us-east-1-daniel-katsenyuk-cluster': 'owned', 'eks:cluster-name': 'task1-dev-us-east-1-daniel-katsenyuk-cluster', 'aws:ec2launchtemplate:version': '1', 'eks:nodegroup-name': 'task1-dev-us-east-1-daniel-katsenyuk-node-group', 'k8s.io/cluster-autoscaler/enabled': 'true', 'aws:ec2launchtemplate:id': 'lt-04c5c24bef3aa67fc'}"
arn:aws:ec2:us-east-1:960341592570:network-interface/eni-0ed25a99c6f03cac3,ec2,"{'eks:eni:owner': 'amazon-vpc-cni', 'node.k8s.amazonaws.com/instance_id': 'i-0187f0996e2811770', 'cluster.k8s.amazonaws.com/name': 'task1-dev-us-east-1-daniel-katsenyuk-cluster'}"
arn:aws:ec2:us-east-1:960341592570:network-interface/eni-0f228ef64576f62e9,ec2,"{'eks:eni:owner': 'amazon-vpc-cni', 'node.k8s.amazonaws.com/instance_id': 'i-0187f0996e2811770', 'node.k8s.amazonaws.com/createdAt': '2026-02-24T12:54:39Z', 'cluster.k8s.amazonaws.com/name': 'task1-dev-us-east-1-daniel-katsenyuk-cluster'}"
arn:aws:ec2:us-east-1:960341592570:route-table/rtb-082dab7bfc2d9ed57,ec2,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-public-rt'}"
arn:aws:ec2:us-east-1:960341592570:route-table/rtb-085bee1cd872d55e0,ec2,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-private-rt'}"
arn:aws:ec2:us-east-1:960341592570:route-table/rtb-0f4d13a0189ce5117,ec2,"{'Owner': 'Daniel Katsenyuk', 'Account-level-resource': 'True', 'Module-Number': '4'}"
arn:aws:ec2:us-east-1:960341592570:subnet/subnet-05fb45bdad6915297,ec2,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-private-subnet-2'}"
arn:aws:eks:us-east-1:960341592570:nodegroup/task1-dev-us-east-1-daniel-katsenyuk-cluster/task1-dev-us-east-1-daniel-katsenyuk-node-group/8cce47db-109c-2c1a-3cc3-e0b97400fcaf,eks,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/kube-system/kube-proxy-pkftp/7955fe19-ff23-4b3f-9085-d204685431a4,eks,"{'controller-revision-hash': '66fd48bbb9', 'pod-template-generation': '1', 'k8s-app': 'kube-proxy'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/nginx/nginx-deployment-65c88c96b6-j7zd4/e1acb1b7-0eb7-4163-aa18-b120347b7a82,eks,"{'app': 'nginx', 'pod-template-hash': '65c88c96b6', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1a'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/nginx/nginx-deployment-65c88c96b6-fklfl/448a227b-c282-4575-9a19-e824a323e89b,eks,"{'app': 'nginx', 'pod-template-hash': '65c88c96b6', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1b'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/kube-system/csi-secrets-store-provider-aws-k8c6k/b3c2a804-5885-4fc7-8968-076c4ac89b6a,eks,"{'app': 'csi-secrets-store-provider-aws', 'controller-revision-hash': '66f57b995', 'pod-template-generation': '1', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1a'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/kube-system/efs-csi-node-ng262/ce81bd73-b516-40d3-b862-a871fecb06de,eks,"{'app': 'efs-csi-node', 'controller-revision-hash': '7cc5c75fbb', 'app.kubernetes.io/name': 'aws-efs-csi-driver', 'pod-template-generation': '1', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1b', 'app.kubernetes.io/instance': 'aws-efs-csi-driver'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/kube-system/csi-secrets-store-secrets-store-csi-driver-9f5gn/d64bfbf7-e7a1-4320-a6ce-36289e92c95c,eks,"{'app': 'secrets-store-csi-driver', 'helm.sh/chart': 'secrets-store-csi-driver-1.5.5', 'app.kubernetes.io/managed-by': 'Helm', 'controller-revision-hash': '7dcb54bcc9', 'app.kubernetes.io/name': 'secrets-store-csi-driver', 'pod-template-generation': '1', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1b', 'app.kubernetes.io/instance': 'csi-secrets-store', 'app.kubernetes.io/version': '1.5.5'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/kube-system/kube-proxy-nvdzp/d9a9bb20-469d-4404-9bbd-2c1d762cbbad,eks,"{'controller-revision-hash': '66fd48bbb9', 'pod-template-generation': '1', 'k8s-app': 'kube-proxy'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/keda/keda-operator-6b764fdd85-lskz2/2bff08d4-8930-4296-9415-5b764ede1077,eks,"{'app': 'keda-operator', 'name': 'keda-operator', 'pod-template-hash': '6b764fdd85', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1a'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/prometheus/prometheus-6f484787dc-2wkzp/99a9dcd4-5ee1-4e3e-a36e-24166c0362b5,eks,"{'app': 'prometheus', 'pod-template-hash': '6f484787dc', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1b'}"
arn:aws:elasticfilesystem:us-east-1:960341592570:access-point/fsap-0e426d71311b0925d,elasticfilesystem,{'efs.csi.aws.com/cluster': 'true'}
arn:aws:elasticfilesystem:us-east-1:960341592570:file-system/fs-0cf5dc3e7ec09e974,elasticfilesystem,"{'aws:elasticfilesystem:default-backup': 'enabled', 'Name': 'mysql-efs'}"
arn:aws:elasticloadbalancing:us-east-1:960341592570:loadbalancer/net/a834ae293b94d4a9f8e91504075f9a6f/6e91dddd55aedeb0,elasticloadbalancing,"{'kubernetes.io/service-name': 'nginx/nginx-service', 'kubernetes.io/cluster/task1-dev-us-east-1-daniel-katsenyuk-cluster': 'owned'}"
arn:aws:elasticloadbalancing:us-east-1:960341592570:targetgroup/k8s-nginx-nginxser-72ff03b042/5e1f987d9724d9da,elasticloadbalancing,"{'kubernetes.io/service-name': 'nginx/nginx-service', 'kubernetes.io/cluster/task1-dev-us-east-1-daniel-katsenyuk-cluster': 'owned'}"
arn:aws:events:us-east-1:960341592570:rule/aws-controltower-ConfigComplianceChangeEventRule,events,"{'aws:cloudformation:stack-name': 'StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-bf633fac-72dd-4276-b698-8308801ff356', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:960341592570:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-bf633fac-72dd-4276-b698-8308801ff356/76274240-0d5d-11f1-886e-0eaed18abfd1', 'aws:cloudformation:logical-id': 'CWEventRuleComplianceChangeEvent'}"
arn:aws:lambda:us-east-1:960341592570:function:aws-controltower-NotificationForwarder,lambda,"{'aws:cloudformation:stack-name': 'StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-bf633fac-72dd-4276-b698-8308801ff356', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:960341592570:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-bf633fac-72dd-4276-b698-8308801ff356/76274240-0d5d-11f1-886e-0eaed18abfd1', 'aws:cloudformation:logical-id': 'ForwardSnsNotification'}"
arn:aws:logs:us-east-1:960341592570:log-group:/aws/lambda/StackSet-temp2-4a8ba573-75de-41ca-ad8d-f61a9877ea95-fn,logs,"{'Owner': 'Daniel Katsenyuk', 'Account-level-resource': 'True', 'Module-Number': '4'}"
arn:aws:secretsmanager:us-east-1:960341592570:secret:task1-dev-us-east-1-daniel-katsenyuk-generated-token-r9BWCh,secretsmanager,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-secret'}"
arn:aws:ssm:us-east-1:960341592570:parameter/dev/dbserver/mysql/user,ssm,"{'Owner': 'Daniel Katsenyuk', 'Account-level-resource': 'True', 'Module-Number': '4'}"
arn:aws:ssm:us-east-1:960341592570:parameter/dev/myapp/mysql/host,ssm,"{'Owner': 'Daniel Katsenyuk', 'Account-level-resource': 'True', 'Module-Number': '4'}"
